task_id,cpu_demand
0,0.2341
1,0.5812
2,0.1023
3,0.8745
4,0.3201
5,0.6534
6,0.4412
7,0.7891
8,0.1567
9,0.9023
10,0.2789
11,0.5101
12,0.3456
13,0.7234
14,0.1890
15,0.8512
16,0.4023
17,0.6789
18,0.2234
19,0.5678
20,0.3912
21,0.7456
22,0.1234
23,0.8901
24,0.4567
25,0.6123
26,0.2890
27,0.5345
28,0.3678
29,0.7012
30,0.1456
31,0.8234
32,0.4789
33,0.6456
34,0.2012
35,0.5890
36,0.3345
37,0.7678
38,0.1789
39,0.9234
40,0.4234
41,0.6901
42,0.2567
43,0.5123
44,0.3890
45,0.7345
46,0.1345
47,0.8678
48,0.4456
49,0.6012
50,0.2678
51,0.5456
52,0.3123
53,0.7890
54,0.1678
55,0.8345
56,0.4901
57,0.6567
58,0.2345
59,0.5901
60,0.3567
61,0.7123
62,0.1901
63,0.8456
64,0.4678
65,0.6234
66,0.2456
67,0.5678
68,0.3234
69,0.7567
70,0.1567
71,0.8890
72,0.4345
73,0.6901
74,0.2123
75,0.5456
76,0.3890
77,0.7234
78,0.1456
79,0.8678
80,0.4012
81,0.6345
82,0.2890
83,0.5234
84,0.3567
85,0.7901
86,0.1234
87,0.8567
88,0.4890
89,0.6123
90,0.2567
91,0.5890
92,0.3123
93,0.7456
94,0.1890
95,0.8234
96,0.4567
97,0.6789
98,0.2234
99,0.9456
